id,disease,symptoms,herbs_used,precautions,prevention,preparation
4876,Anemia,"chest discomfort, fatigue, fever, frequent urination","Ashwagandha, Guduchi, Shatavari","Avoid oily food, Avoid stress, Do not overexert","Regular exercise, Seasonal immunity support","Using Ashwagandha, Guduchi, Shatavari, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
3105,Generalized Fatigue Syndrome,"anxiety, fever, muscle pain, vomiting","Ginger, Haritaki, Manjistha, Punarnava","Avoid oily food, Light and warm diet","Daily yoga practice, Herbal immune boosters","Using Ginger, Haritaki, Manjistha, Punarnava, Boil herbs in water, strain well, and drink fresh for symptom relief."
4599,Diarrheal Disorder,"anxiety, itching, low energy, skin rash, sore throat","Bibhitaki, Haritaki, Turmeric","Avoid cold food, Avoid spicy food, Ensure adequate sleep","Balanced diet, Daily yoga practice, Regular exercise","Using Bibhitaki, Haritaki, Turmeric, Boil herbs in water, strain well, and drink fresh for symptom relief."
2455,Vitamin D Deficiency,"body ache, fever, insomnia, loss of appetite, low energy, skin rash","Bibhitaki, Brahmi, Ginger, Manjistha","Avoid alcohol, Avoid oily food, Ensure adequate sleep","Herbal immune boosters, Regular exercise, Stress management","Using Bibhitaki, Brahmi, Ginger, Manjistha, Boil herbs in water, strain well, and drink fresh for symptom relief."
3646,Tinnitus (Early Stage),"low energy, shortness of breath, skin rash, vomiting","Ashwagandha, Ginger, Guduchi, Pippali","Ensure adequate sleep, Maintain hydration","Balanced diet, Regular exercise, Seasonal immunity support","Using Ashwagandha, Ginger, Guduchi, Pippali, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
805,Vertigo,"fever, insomnia, loss of appetite, nausea, shortness of breath, skin rash","Amla, Haritaki, Punarnava, Turmeric","Avoid stress, Light and warm diet, Maintain hydration","Balanced diet, Stress management","Using Amla, Haritaki, Punarnava, Turmeric, Make a light decoction from the herbs and consume warm, preferably after food."
2732,Common Cold,"anxiety, constipation, fever, muscle pain, shortness of breath","Bibhitaki, Brahmi, Pippali, Tulsi","Avoid cold food, Light and warm diet, Maintain hydration","Herbal immune boosters, Regular exercise","Using Bibhitaki, Brahmi, Pippali, Tulsi, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
2774,Vitamin B12 Deficiency,"constipation, diarrhea, insomnia, joint pain, skin rash","Amla, Arjuna, Shatavari","Avoid cold food, Avoid stress, Maintain hydration","Balanced diet, Seasonal immunity support","Using Amla, Arjuna, Shatavari, Boil herbs in water, strain well, and drink fresh for symptom relief."
1571,Urinary Tract Infection,"back pain, diarrhea, insomnia, productive cough","Punarnava, Shatavari","Avoid cold food, Avoid stress","Adequate sleep routine, Daily yoga practice, Herbal immune boosters","Using Punarnava, Shatavari, Boil herbs in water, strain well, and drink fresh for symptom relief."
2691,Vitamin B12 Deficiency,"abdominal pain, diarrhea, frequent urination, shortness of breath, skin rash, vomiting","Ashwagandha, Bibhitaki","Avoid alcohol, Avoid cold food, Avoid spicy food","Adequate sleep routine, Herbal immune boosters, Regular exercise","Using Ashwagandha, Bibhitaki, Make a light decoction from the herbs and consume warm, preferably after food."
3841,Sleep Disturbance Disorder,"abdominal pain, body ache, burning sensation, muscle pain, skin rash","Bibhitaki, Haritaki","Avoid cold food, Avoid spicy food, Avoid stress","Herbal immune boosters, Stress management","Using Bibhitaki, Haritaki, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
1029,Hypothyroidism (Mild),"burning sensation, dry cough, itching, productive cough, sore throat","Guduchi, Shatavari","Avoid stress, Ensure adequate sleep","Regular exercise, Seasonal immunity support, Stress management","Using Guduchi, Shatavari, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
503,Cervical Spondylosis,"anxiety, burning sensation, diarrhea, fatigue, fever","Gokshura, Haritaki, Manjistha, Pippali","Avoid cold food, Do not overexert","Balanced diet, Daily yoga practice, Seasonal immunity support","Using Gokshura, Haritaki, Manjistha, Pippali, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
4494,Anemia,"anxiety, chest discomfort, fatigue, headache, insomnia, shortness of breath","Arjuna, Bibhitaki, Punarnava","Light and warm diet, Maintain hydration","Adequate sleep routine, Daily yoga practice, Stress management","Using Arjuna, Bibhitaki, Punarnava, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
871,Psoriasis,"back pain, body ache, chest discomfort, diarrhea, shortness of breath","Amla, Ginger, Gokshura, Punarnava","Avoid alcohol, Avoid spicy food","Herbal immune boosters, Stress management","Using Amla, Ginger, Gokshura, Punarnava, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
4489,Vitamin D Deficiency,"chest discomfort, constipation, skin rash","Manjistha, Punarnava, Turmeric","Avoid cold food, Do not overexert, Light and warm diet","Adequate sleep routine, Herbal immune boosters, Stress management","Using Manjistha, Punarnava, Turmeric, Make a light decoction from the herbs and consume warm, preferably after food."
207,Sinusitis,"frequent urination, muscle pain, vomiting","Bibhitaki, Guduchi, Punarnava, Shatavari","Avoid cold food, Avoid spicy food, Maintain hydration","Balanced diet, Daily yoga practice, Regular exercise","Using Bibhitaki, Guduchi, Punarnava, Shatavari, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
1485,Eczema,"abdominal pain, joint pain, low energy, shortness of breath","Brahmi, Haritaki, Shatavari","Avoid oily food, Avoid stress, Do not overexert","Daily yoga practice, Regular exercise","Using Brahmi, Haritaki, Shatavari, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
864,Anemia,"chest discomfort, dizziness, fever, itching, sore throat, vomiting","Bibhitaki, Haritaki, Tulsi, Turmeric","Avoid oily food, Avoid spicy food, Maintain hydration","Adequate sleep routine, Daily yoga practice","Using Bibhitaki, Haritaki, Tulsi, Turmeric, Make a light decoction from the herbs and consume warm, preferably after food."
2791,Type 2 Diabetes (Early Stage),"constipation, fever, muscle pain","Neem, Punarnava","Avoid stress, Light and warm diet","Daily yoga practice, Herbal immune boosters","Using Neem, Punarnava, Make a light decoction from the herbs and consume warm, preferably after food."
564,Bronchitis,"abdominal pain, body ache, diarrhea, dizziness, nausea, sore throat","Arjuna, Pippali","Avoid alcohol, Avoid spicy food, Ensure adequate sleep","Balanced diet, Regular exercise","Using Arjuna, Pippali, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
4192,Osteoarthritis,"insomnia, shortness of breath, vomiting","Guduchi, Tulsi","Avoid stress, Light and warm diet","Balanced diet, Herbal immune boosters, Stress management","Using Guduchi, Tulsi, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
1758,Anxiety Disorder (Mild),"dizziness, dry cough, fever, low energy, productive cough, shortness of breath","Amla, Turmeric","Avoid alcohol, Do not overexert","Adequate sleep routine, Balanced diet, Daily yoga practice","Using Amla, Turmeric, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
1679,Urinary Tract Infection,"abdominal pain, body ache, dizziness","Ginger, Manjistha","Avoid spicy food, Avoid stress, Ensure adequate sleep","Adequate sleep routine, Seasonal immunity support","Using Ginger, Manjistha, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
3243,Bacterial Skin Infection,"back pain, dry cough, fever, low energy, productive cough","Ashwagandha, Brahmi, Punarnava","Avoid cold food, Avoid stress, Maintain hydration","Balanced diet, Herbal immune boosters","Using Ashwagandha, Brahmi, Punarnava, Boil herbs in water, strain well, and drink fresh for symptom relief."
4637,Productive Cough,"fever, muscle pain, vomiting","Bibhitaki, Brahmi, Gokshura","Avoid alcohol, Avoid oily food","Balanced diet, Regular exercise","Using Bibhitaki, Brahmi, Gokshura, Make a light decoction from the herbs and consume warm, preferably after food."
1060,Viral Fever,"body ache, fatigue, itching","Amla, Shatavari","Avoid alcohol, Avoid oily food","Daily yoga practice, Herbal immune boosters, Seasonal immunity support","Using Amla, Shatavari, Boil herbs in water, strain well, and drink fresh for symptom relief."
1723,Constipation Disorder,"dizziness, fatigue, shortness of breath","Amla, Bibhitaki, Turmeric","Avoid alcohol, Maintain hydration","Regular exercise, Seasonal immunity support","Using Amla, Bibhitaki, Turmeric, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
3315,Acid Reflux,"dry cough, fatigue, insomnia, skin rash, vomiting","Bibhitaki, Ginger","Do not overexert, Ensure adequate sleep","Adequate sleep routine, Daily yoga practice, Stress management","Using Bibhitaki, Ginger, Boil herbs in water, strain well, and drink fresh for symptom relief."
3158,Seasonal Fever,"burning sensation, chest discomfort, diarrhea, productive cough","Amla, Brahmi, Tulsi, Turmeric","Avoid stress, Do not overexert, Light and warm diet","Balanced diet, Seasonal immunity support, Stress management","Using Amla, Brahmi, Tulsi, Turmeric, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
2626,Generalized Fatigue Syndrome,"chest discomfort, joint pain, low energy","Arjuna, Pippali, Punarnava, Tulsi","Avoid oily food, Avoid stress, Do not overexert","Herbal immune boosters, Seasonal immunity support","Using Arjuna, Pippali, Punarnava, Tulsi, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
2730,Kidney Stone Disorder,"chest discomfort, diarrhea, insomnia, muscle pain, vomiting","Gokshura, Guduchi, Manjistha, Shatavari","Avoid oily food, Avoid spicy food","Adequate sleep routine, Balanced diet","Using Gokshura, Guduchi, Manjistha, Shatavari, Boil herbs in water, strain well, and drink fresh for symptom relief."
1598,Tinnitus (Early Stage),"chest discomfort, itching, nausea","Amla, Bibhitaki, Shatavari","Do not overexert, Maintain hydration","Daily yoga practice, Herbal immune boosters","Using Amla, Bibhitaki, Shatavari, Make a light decoction from the herbs and consume warm, preferably after food."
3061,Allergic Rhinitis,"constipation, frequent urination, itching, low energy","Bibhitaki, Haritaki, Manjistha","Avoid cold food, Light and warm diet","Daily yoga practice, Herbal immune boosters, Regular exercise","Using Bibhitaki, Haritaki, Manjistha, Make a light decoction from the herbs and consume warm, preferably after food."
2694,Seasonal Allergy,"back pain, headache, shortness of breath","Arjuna, Ginger, Gokshura","Avoid spicy food, Light and warm diet, Maintain hydration","Adequate sleep routine, Regular exercise","Using Arjuna, Ginger, Gokshura, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
4892,Allergic Rhinitis,"anxiety, diarrhea, itching, muscle pain, skin rash","Amla, Arjuna, Punarnava, Shatavari","Avoid oily food, Do not overexert","Adequate sleep routine, Regular exercise, Stress management","Using Amla, Arjuna, Punarnava, Shatavari, Boil herbs in water, strain well, and drink fresh for symptom relief."
3628,Anemia,"anxiety, chest discomfort, dizziness, nausea","Brahmi, Ginger, Manjistha, Turmeric","Avoid oily food, Avoid stress, Do not overexert","Adequate sleep routine, Balanced diet","Using Brahmi, Ginger, Manjistha, Turmeric, Make a light decoction from the herbs and consume warm, preferably after food."
1364,Osteoarthritis,"abdominal pain, body ache, dizziness, fever","Gokshura, Pippali","Avoid stress, Ensure adequate sleep, Light and warm diet","Adequate sleep routine, Balanced diet","Using Gokshura, Pippali, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
1982,Bacterial Skin Infection,"abdominal pain, back pain, chest discomfort, nausea","Ashwagandha, Bibhitaki, Haritaki, Tulsi","Avoid spicy food, Do not overexert, Ensure adequate sleep","Daily yoga practice, Stress management","Using Ashwagandha, Bibhitaki, Haritaki, Tulsi, Make a light decoction from the herbs and consume warm, preferably after food."
1664,Seasonal Fever,"anxiety, dry cough, fever, shortness of breath","Amla, Neem","Avoid alcohol, Avoid cold food, Avoid oily food","Daily yoga practice, Seasonal immunity support","Using Amla, Neem, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
1530,Dehydration,"back pain, constipation, fatigue, fever, muscle pain, productive cough","Guduchi, Pippali, Tulsi, Turmeric","Avoid alcohol, Avoid cold food","Balanced diet, Herbal immune boosters","Using Guduchi, Pippali, Tulsi, Turmeric, Make a light decoction from the herbs and consume warm, preferably after food."
2039,Vitamin B12 Deficiency,"back pain, dry cough, muscle pain, shortness of breath, skin rash","Guduchi, Tulsi","Avoid alcohol, Avoid oily food, Avoid stress","Herbal immune boosters, Seasonal immunity support","Using Guduchi, Tulsi, Boil herbs in water, strain well, and drink fresh for symptom relief."
